,Team,League,Year,OBP,SLG,BA,Playoffs,ERA,ERA+,FIP,HR,RBIs,Ks
1173,BOS,AL,1964,0.322,0.416,0.258,0,4.5,87,3.96,186,648,1094
1172,BAL,AL,1964,0.316,0.387,0.248,0,3.16,114,3.48,162,632,939
1171,WSA,AL,1965,0.304,0.35,0.228,0,3.93,88,4.15,136,563,867
1170,STL,NL,1965,0.314,0.371,0.254,0,3.77,103,3.78,109,645,916
1169,SFG,NL,1965,0.313,0.385,0.252,0,3.2,113,3.2,159,623,1060
1168,PIT,NL,1965,0.317,0.382,0.265,0,3.01,117,3.15,111,631,882
1167,PHI,NL,1965,0.313,0.384,0.25,0,3.53,98,3.16,144,608,1071
1166,NYY,AL,1965,0.299,0.364,0.235,0,3.28,104,3.38,149,576,1001
1165,NYM,NL,1965,0.277,0.327,0.221,0,4.06,87,3.89,107,460,776
1164,MLN,NL,1965,0.31,0.416,0.256,0,3.52,100,3.47,196,664,966
1163,MIN,AL,1965,0.324,0.399,0.254,1,3.14,114,3.81,150,711,934
1162,LAD,NL,1965,0.312,0.335,0.245,1,2.81,116,3.1,78,548,1079
1161,KCA,AL,1965,0.309,0.358,0.24,0,4.24,83,4.03,110,546,882
1160,HOU,NL,1965,0.305,0.34,0.237,0,3.84,87,3.22,97,523,931
1159,DET,AL,1965,0.312,0.374,0.238,0,3.35,105,3.42,162,634,1069
1158,CLE,AL,1965,0.315,0.379,0.25,0,3.3,107,3.17,156,615,1156
1157,CIN,NL,1965,0.339,0.439,0.273,0,3.88,97,3.51,183,776,1113
1156,CHW,AL,1965,0.315,0.364,0.246,0,2.99,106,3.3,125,587,946
1155,CHC,NL,1965,0.307,0.358,0.238,0,3.78,98,3.75,134,590,855
1154,CAL,AL,1965,0.297,0.341,0.239,0,3.17,106,3.39,92,486,847
1153,BOS,AL,1965,0.327,0.4,0.251,0,4.24,88,3.76,165,629,993
1152,BAL,AL,1965,0.307,0.363,0.238,0,2.98,116,3.39,125,596,939
1151,WSA,AL,1966,0.295,0.355,0.234,0,3.7,94,3.74,126,525,866
1150,STL,NL,1966,0.298,0.368,0.251,0,3.11,116,3.48,108,533,892
1149,SFG,NL,1966,0.303,0.392,0.248,0,3.24,115,3.27,181,627,973
1148,PIT,NL,1966,0.329,0.428,0.279,0,3.52,102,3.46,158,715,898
1147,PHI,NL,1966,0.322,0.378,0.258,0,3.57,102,3.47,117,628,928
1146,NYY,AL,1966,0.299,0.374,0.235,0,3.41,97,3.49,162,569,842
1145,NYM,NL,1966,0.301,0.342,0.239,0,4.17,88,4.15,98,534,773
1144,MIN,AL,1966,0.316,0.382,0.249,0,3.13,116,3.27,144,611,1015
1143,LAD,NL,1966,0.314,0.362,0.256,1,2.62,126,2.6,108,565,1084
1142,KCA,AL,1966,0.294,0.337,0.236,0,3.56,96,3.72,70,509,854
1141,HOU,NL,1966,0.318,0.365,0.255,0,3.76,92,3.32,112,570,929
1140,DET,AL,1966,0.321,0.406,0.251,0,3.85,91,3.94,179,682,1026
1139,CLE,AL,1966,0.297,0.36,0.237,0,3.23,107,3.24,155,536,1111
1138,CIN,NL,1966,0.309,0.395,0.26,0,4.08,97,3.6,149,651,1043
1137,CHW,AL,1966,0.297,0.331,0.231,0,2.68,118,3.12,87,524,896
1136,CHC,NL,1966,0.313,0.38,0.254,0,4.33,85,3.99,140,603,908
1135,CAL,AL,1966,0.303,0.354,0.232,0,3.56,94,3.75,122,562,836
1134,BOS,AL,1966,0.31,0.376,0.24,0,3.92,98,3.93,145,617,977
1133,BAL,AL,1966,0.324,0.409,0.258,1,3.32,102,3.33,175,703,1070
1132,ATL,NL,1966,0.326,0.424,0.263,0,3.68,101,3.54,207,734,884
1131,WSA,AL,1967,0.288,0.326,0.223,0,3.38,94,3.43,115,521,878
1130,STL,NL,1967,0.32,0.379,0.263,1,3.05,108,3.05,115,656,956
1129,SFG,NL,1967,0.313,0.372,0.245,0,2.92,115,3.17,140,604,990
1128,PIT,NL,1967,0.324,0.38,0.277,0,3.74,90,3.6,91,615,820
1127,PHI,NL,1967,0.313,0.357,0.242,0,3.1,111,2.89,103,553,967
1126,NYY,AL,1967,0.296,0.317,0.225,0,3.24,96,3.34,100,473,898
1125,NYM,NL,1967,0.288,0.325,0.238,0,3.73,91,3.6,83,461,893
1124,MIN,AL,1967,0.309,0.369,0.24,0,3.14,112,2.97,131,619,1089
1123,LAD,NL,1967,0.301,0.332,0.236,0,3.21,96,2.92,82,465,967
1122,KCA,AL,1967,0.296,0.33,0.233,0,3.68,87,3.54,69,481,990
1121,HOU,NL,1967,0.317,0.364,0.249,0,4.03,82,3.25,93,581,1060
1120,DET,AL,1967,0.325,0.376,0.243,0,3.32,99,3.52,152,618,1038
1119,CLE,AL,1967,0.293,0.359,0.235,0,3.25,102,3.19,131,514,1189
1118,CIN,NL,1967,0.297,0.372,0.248,0,3.05,125,3.09,109,560,1065
1117,CHW,AL,1967,0.291,0.32,0.225,0,2.45,123,3.11,89,491,927
1116,CHC,NL,1967,0.316,0.378,0.251,0,3.48,102,3.6,128,642,888
1115,CAL,AL,1967,0.301,0.349,0.238,0,3.19,98,3.55,114,524,892
1114,BOS,AL,1967,0.321,0.395,0.255,1,3.36,105,3.5,158,666,1010
1113,BAL,AL,1967,0.31,0.372,0.24,0,3.32,96,3.38,138,624,1034
1112,ATL,NL,1967,0.307,0.372,0.24,0,3.47,97,3.42,158,596,862
1111,WSA,AL,1968,0.287,0.336,0.224,0,3.64,80,3.47,124,489,826
1110,STL,NL,1968,0.298,0.346,0.249,1,2.49,117,2.61,73,539,971
1109,SFG,NL,1968,0.307,0.341,0.239,0,2.71,111,2.62,108,566,942
1108,PIT,NL,1968,0.306,0.343,0.252,0,2.74,106,2.87,80,538,897
1107,PHI,NL,1968,0.294,0.333,0.233,0,3.36,90,2.87,100,505,935
1106,OAK,AL,1968,0.304,0.343,0.24,0,2.94,95,3.23,94,522,997
1105,NYY,AL,1968,0.292,0.318,0.214,0,2.79,103,3.06,109,501,831
1104,NYM,NL,1968,0.281,0.315,0.228,0,2.72,111,2.74,81,434,1014
1103,MIN,AL,1968,0.299,0.35,0.237,0,2.89,109,2.78,105,522,996
1102,LAD,NL,1968,0.289,0.319,0.23,0,2.69,103,2.53,67,434,994
1101,HOU,NL,1968,0.298,0.317,0.231,0,3.26,91,2.65,66,473,1021
1100,DET,AL,1968,0.307,0.385,0.235,1,2.71,111,3.06,185,639,1115
1099,CLE,AL,1968,0.293,0.327,0.234,0,2.66,113,2.89,75,476,1157
1098,CIN,NL,1968,0.32,0.389,0.273,0,3.56,89,3.33,106,638,963
1097,CHW,AL,1968,0.284,0.311,0.228,0,2.75,117,3.16,71,431,834
1096,CHC,NL,1968,0.298,0.366,0.242,0,3.41,93,3.25,130,576,894
1095,CAL,AL,1968,0.291,0.318,0.227,0,3.43,85,3.51,83,453,869
1094,BOS,AL,1968,0.313,0.352,0.236,0,3.33,96,3.26,125,558,972
1093,BAL,AL,1968,0.304,0.352,0.225,0,2.66,110,2.98,133,534,1044
1092,ATL,NL,1968,0.307,0.339,0.252,0,2.92,104,2.77,80,480,871
1091,WSA,AL,1969,0.33,0.378,0.251,0,3.49,99,4.0,148,640,835
1090,STL,NL,1969,0.316,0.359,0.253,0,2.94,122,3.12,90,561,1004
1089,SFG,NL,1969,0.334,0.361,0.242,0,3.26,109,3.35,136,657,906
1088,SEP,AL,1969,0.316,0.346,0.234,0,4.35,83,4.16,125,583,963
1087,SDP,NL,1969,0.285,0.329,0.225,0,4.24,84,3.8,99,431,764
1086,PIT,NL,1969,0.334,0.398,0.277,0,3.61,97,3.04,119,651,1124
1085,PHI,NL,1969,0.312,0.372,0.241,0,4.14,86,3.71,137,593,921
1084,OAK,AL,1969,0.329,0.376,0.249,0,3.71,92,4.01,148,680,887
1083,NYY,AL,1969,0.308,0.344,0.235,0,3.23,108,3.59,94,521,801
1082,NYM,NL,1969,0.311,0.351,0.242,1,2.99,122,3.3,109,598,1012
1081,MON,NL,1969,0.31,0.359,0.24,0,4.33,85,4.05,125,542,973
1080,MIN,AL,1969,0.34,0.408,0.268,1,3.24,114,3.46,163,733,906
1079,LAD,NL,1969,0.315,0.359,0.254,0,3.08,108,3.2,97,584,975
1078,KCR,AL,1969,0.309,0.338,0.24,0,3.72,99,3.69,98,538,894
1077,HOU,NL,1969,0.33,0.352,0.24,0,3.6,99,3.03,104,618,1221
1076,DET,AL,1969,0.316,0.387,0.242,0,3.31,113,3.51,182,649,1032
1075,CLE,AL,1969,0.307,0.345,0.237,0,3.94,95,3.85,119,534,1000
1074,CIN,NL,1969,0.335,0.422,0.277,0,4.11,91,4.08,171,750,818
1073,CHW,AL,1969,0.32,0.357,0.247,0,4.21,93,3.95,112,585,810
1072,CHC,NL,1969,0.323,0.384,0.253,0,3.34,121,3.2,142,671,1017
1071,CAL,AL,1969,0.3,0.319,0.23,0,3.54,98,3.6,88,480,885
1070,BOS,AL,1969,0.333,0.415,0.251,0,3.92,98,4.11,197,701,935
1069,BAL,AL,1969,0.343,0.414,0.265,1,2.83,126,3.38,175,722,897
1068,ATL,NL,1969,0.321,0.38,0.258,1,3.53,103,3.53,141,640,893
1067,WSA,AL,1970,0.321,0.358,0.238,0,3.8,93,4.06,138,583,823
1066,STL,NL,1970,0.331,0.379,0.263,0,4.06,103,3.57,113,688,960
1065,SFG,NL,1970,0.351,0.409,0.262,0,4.5,90,4.06,165,773,931
1064,SDP,NL,1970,0.312,0.391,0.246,0,4.36,91,4.1,172,629,886
1063,PIT,NL,1970,0.325,0.406,0.27,1,3.7,106,3.59,130,676,990
1062,PHI,NL,1970,0.305,0.356,0.238,0,4.17,97,3.55,101,553,1047
1061,OAK,AL,1970,0.325,0.392,0.249,0,3.3,108,3.85,171,630,858
1060,NYY,AL,1970,0.324,0.365,0.251,0,3.24,109,3.7,111,627,777
1059,NYM,NL,1970,0.333,0.37,0.249,0,3.45,116,3.62,120,640,1064
1058,MON,NL,1970,0.323,0.365,0.237,0,4.5,91,4.43,136,646,914
1057,MIN,AL,1970,0.327,0.403,0.262,1,3.23,118,3.59,153,694,940
1056,MIL,AL,1970,0.319,0.358,0.242,0,4.21,90,4.02,126,571,895
1055,LAD,NL,1970,0.334,0.382,0.27,0,3.82,100,3.98,87,695,880
1054,KCR,AL,1970,0.309,0.348,0.244,0,3.78,99,4.0,97,572,915
1053,HOU,NL,1970,0.332,0.391,0.259,0,4.23,92,3.79,129,694,942
1052,DET,AL,1970,0.322,0.374,0.238,0,4.09,92,3.93,148,619,1045
1051,CLE,AL,1970,0.314,0.394,0.249,0,3.91,100,4.12,183,617,1076
1050,CIN,NL,1970,0.336,0.436,0.27,1,3.69,113,3.82,191,726,843
1049,CHW,AL,1970,0.315,0.362,0.253,0,4.54,84,4.32,123,587,762
1048,CHC,NL,1970,0.333,0.415,0.259,0,3.76,119,3.59,179,761,1000
1047,CAL,AL,1970,0.309,0.363,0.251,0,3.48,104,3.98,114,598,922
1046,BOS,AL,1970,0.335,0.428,0.262,0,3.87,103,3.98,203,743,1003
1045,BAL,AL,1970,0.344,0.401,0.257,1,3.15,116,3.59,179,748,941
1044,ATL,NL,1970,0.334,0.404,0.27,0,4.33,98,4.04,160,692,960
1043,WSA,AL,1971,0.307,0.326,0.23,0,3.7,89,3.85,86,501,762
1042,STL,NL,1971,0.338,0.385,0.275,0,3.85,94,3.39,95,686,911
1041,SFG,NL,1971,0.329,0.378,0.247,1,3.32,103,3.49,140,653,831
1040,SDP,NL,1971,0.293,0.332,0.233,0,3.22,103,3.23,96,447,923
1039,PIT,NL,1971,0.33,0.416,0.274,1,3.31,104,3.33,154,744,813
1038,PHI,NL,1971,0.298,0.35,0.233,0,3.71,96,3.62,123,522,838
1037,OAK,AL,1971,0.321,0.384,0.252,1,3.05,109,3.34,160,642,999
1036,NYY,AL,1971,0.328,0.36,0.254,0,3.43,95,3.53,97,607,707
1035,NYM,NL,1971,0.319,0.351,0.249,0,2.99,114,2.92,98,546,1157
1034,MON,NL,1971,0.322,0.343,0.246,0,4.12,85,3.94,88,567,829
1033,MIN,AL,1971,0.323,0.372,0.26,0,3.81,93,3.67,116,618,895
1032,MIL,AL,1971,0.304,0.329,0.229,0,3.38,102,3.78,104,496,795
1031,LAD,NL,1971,0.325,0.37,0.266,0,3.23,100,3.13,95,631,853
1030,KCR,AL,1971,0.313,0.353,0.25,0,3.25,105,3.25,80,573,775
1029,HOU,NL,1971,0.302,0.34,0.24,0,3.13,108,2.96,71,547,914
1028,DET,AL,1971,0.325,0.405,0.254,0,3.63,100,3.55,179,652,1000
1027,CLE,AL,1971,0.3,0.342,0.238,0,4.28,90,4.24,109,507,937
1026,CIN,NL,1971,0.3,0.366,0.241,0,3.35,98,3.52,138,542,750
1025,CHW,AL,1971,0.325,0.373,0.25,0,3.12,116,3.03,138,568,976
1024,CHC,NL,1971,0.325,0.378,0.258,0,3.61,108,3.3,128,603,900
1023,CAL,AL,1971,0.29,0.329,0.231,0,3.1,105,3.42,96,476,904
1022,BOS,AL,1971,0.322,0.397,0.252,0,3.8,97,3.67,161,650,871
1021,BAL,AL,1971,0.347,0.398,0.261,1,2.99,113,3.4,158,702,793
1020,ATL,NL,1971,0.312,0.385,0.257,0,3.75,99,3.72,153,597,823
1019,TEX,AL,1973,0.318,0.361,0.255,0,4.64,80,4.1,110,574,831
1018,STL,NL,1973,0.325,0.357,0.259,0,3.25,113,3.37,75,592,867
1017,SFG,NL,1973,0.335,0.407,0.262,0,3.79,102,3.84,161,684,787
1016,SDP,NL,1973,0.296,0.351,0.244,0,4.16,83,4.02,112,516,845
1015,PIT,NL,1973,0.315,0.405,0.261,0,3.73,95,3.64,154,664,839
1014,PHI,NL,1973,0.31,0.371,0.249,0,3.99,95,3.85,134,592,919
1013,OAK,AL,1973,0.333,0.389,0.26,1,3.29,109,3.83,147,714,797
1012,NYY,AL,1973,0.322,0.378,0.261,0,3.34,110,3.58,131,616,708
1011,NYM,NL,1973,0.315,0.338,0.246,1,3.26,111,3.34,85,553,1027
1010,MON,NL,1973,0.34,0.364,0.251,0,3.71,102,3.99,125,613,866
1009,MIN,AL,1973,0.342,0.393,0.27,0,3.77,105,3.53,120,688,879
1008,MIL,AL,1973,0.325,0.388,0.253,0,3.98,95,4.05,145,669,671
1007,LAD,NL,1973,0.323,0.371,0.263,0,3.0,117,3.39,110,623,961
1006,KCR,AL,1973,0.339,0.381,0.261,0,4.19,97,3.84,114,703,790
1005,HOU,NL,1973,0.312,0.376,0.251,0,3.75,95,3.55,134,634,907
1004,DET,AL,1973,0.32,0.39,0.254,0,3.9,104,3.77,157,592,911
1003,CLE,AL,1973,0.315,0.387,0.256,0,4.58,86,4.2,158,636,883
1002,CIN,NL,1973,0.332,0.383,0.254,1,3.4,100,3.78,137,686,801
1001,CHW,AL,1973,0.324,0.372,0.256,0,3.86,104,3.64,111,598,848
1000,CHC,NL,1973,0.32,0.357,0.247,0,3.66,108,3.47,117,570,885
999,CAL,AL,1973,0.318,0.348,0.253,0,3.53,99,3.46,93,595,1010
998,BOS,AL,1973,0.338,0.401,0.267,0,3.65,110,3.98,147,692,808
997,BAL,AL,1973,0.345,0.389,0.266,1,3.07,121,3.71,119,692,715
996,ATL,NL,1973,0.339,0.427,0.266,0,4.25,94,3.99,206,758,803
995,TEX,AL,1974,0.336,0.377,0.272,0,3.82,93,3.53,99,643,871
994,STL,NL,1974,0.331,0.365,0.265,0,3.48,103,3.66,83,610,794
993,SFG,NL,1974,0.322,0.358,0.252,0,3.78,101,3.79,93,568,756
992,SDP,NL,1974,0.302,0.33,0.229,0,4.58,78,4.09,99,506,855
991,PIT,NL,1974,0.335,0.391,0.274,1,3.49,99,3.6,114,692,721
990,PHI,NL,1974,0.32,0.373,0.261,0,3.91,97,3.82,95,636,892
989,OAK,AL,1974,0.321,0.373,0.247,1,2.95,113,3.29,132,637,755
988,NYY,AL,1974,0.324,0.368,0.263,0,3.31,108,3.52,101,637,829
987,NYM,NL,1974,0.311,0.329,0.235,0,3.42,106,3.3,96,538,908
986,MON,NL,1974,0.335,0.35,0.254,0,3.6,107,3.53,86,610,822
985,MIN,AL,1974,0.336,0.378,0.272,0,3.64,104,3.46,111,632,934
984,MIL,AL,1974,0.309,0.369,0.244,0,3.76,96,3.92,120,612,621
983,LAD,NL,1974,0.342,0.401,0.272,1,2.97,115,3.28,139,744,943
982,KCR,AL,1974,0.327,0.364,0.259,0,3.51,109,3.43,89,623,731
981,HOU,NL,1974,0.322,0.378,0.263,0,3.46,100,3.63,110,603,738
980,DET,AL,1974,0.303,0.366,0.247,0,4.16,91,4.06,131,579,869
979,CLE,AL,1974,0.311,0.37,0.255,0,3.8,95,3.98,131,616,650
978,CIN,NL,1974,0.343,0.394,0.26,0,3.41,102,3.63,135,714,875
977,CHW,AL,1974,0.33,0.389,0.268,0,3.94,96,3.59,135,633,826
976,CHC,NL,1974,0.327,0.365,0.251,0,4.28,89,3.7,110,610,895
975,CAL,AL,1974,0.321,0.356,0.254,0,3.52,97,3.57,95,550,986
974,BOS,AL,1974,0.333,0.377,0.264,0,3.72,105,3.69,109,658,751
973,BAL,AL,1974,0.322,0.37,0.256,1,3.27,105,3.55,116,608,701
972,ATL,NL,1974,0.319,0.363,0.249,0,3.05,124,3.43,120,599,772
971,TEX,AL,1975,0.33,0.371,0.256,0,3.86,97,3.75,134,675,792
970,STL,NL,1975,0.327,0.375,0.273,0,3.57,106,3.56,81,619,824
969,SFG,NL,1975,0.333,0.365,0.259,0,3.74,102,3.59,84,606,856
968,SDP,NL,1975,0.31,0.335,0.244,0,3.48,100,3.61,78,505,713
967,PIT,NL,1975,0.323,0.402,0.263,1,3.01,117,3.42,138,669,768
966,PHI,NL,1975,0.342,0.402,0.269,0,3.82,98,3.52,125,687,897
965,OAK,AL,1975,0.333,0.391,0.254,1,3.27,111,3.58,151,703,784
964,NYY,AL,1975,0.325,0.382,0.264,0,3.29,113,3.5,110,642,809
963,NYM,NL,1975,0.319,0.361,0.256,0,3.39,102,3.35,101,604,989
962,MON,NL,1975,0.317,0.348,0.244,0,3.72,104,3.78,98,542,831
961,MIN,AL,1975,0.341,0.386,0.271,0,4.05,95,4.03,121,669,846
960,MIL,AL,1975,0.32,0.389,0.25,0,4.34,89,4.33,146,632,643
959,LAD,NL,1975,0.325,0.365,0.248,0,2.92,117,3.26,118,606,894
958,KCR,AL,1975,0.333,0.394,0.261,0,3.47,111,3.52,118,667,815
957,HOU,NL,1975,0.32,0.359,0.254,0,4.04,84,3.85,84,606,839
956,DET,AL,1975,0.301,0.366,0.249,0,4.27,93,3.95,125,546,787
955,CLE,AL,1975,0.327,0.392,0.261,0,3.84,98,4.03,153,643,800
954,CIN,NL,1975,0.353,0.401,0.271,1,3.37,107,3.74,124,779,663
953,CHW,AL,1975,0.331,0.358,0.255,0,3.93,100,3.87,94,604,799
952,CHC,NL,1975,0.338,0.368,0.259,0,4.49,84,3.81,95,645,850
951,CAL,AL,1975,0.322,0.328,0.246,0,3.89,91,3.69,55,572,975
950,BOS,AL,1975,0.344,0.417,0.275,1,3.98,104,3.96,134,756,720
949,BAL,AL,1975,0.326,0.373,0.252,0,3.17,112,3.64,124,635,717
948,ATL,NL,1975,0.313,0.346,0.244,0,3.91,97,3.75,107,541,669
947,TEX,AL,1976,0.321,0.341,0.25,0,3.45,104,3.52,80,574,773
946,STL,NL,1976,0.323,0.359,0.26,0,3.6,99,3.7,63,584,731
945,SFG,NL,1976,0.312,0.345,0.246,0,3.53,103,3.33,85,552,746
944,SDP,NL,1976,0.31,0.337,0.247,0,3.65,90,3.69,64,528,652
943,PIT,NL,1976,0.321,0.391,0.267,0,3.36,103,3.41,110,660,762
942,PHI,NL,1976,0.338,0.395,0.272,1,3.08,115,3.1,110,708,918
941,OAK,AL,1976,0.323,0.361,0.246,0,3.26,103,3.43,113,625,711
940,NYY,AL,1976,0.328,0.389,0.269,1,3.19,109,3.53,120,681,674
939,NYM,NL,1976,0.319,0.352,0.246,0,2.94,111,3.0,102,560,1025
938,MON,NL,1976,0.291,0.34,0.235,0,3.99,93,3.81,94,507,783
937,MIN,AL,1976,0.341,0.375,0.274,0,3.69,97,3.71,81,691,762
936,MIL,AL,1976,0.311,0.34,0.246,0,3.64,96,3.85,88,536,677
935,LAD,NL,1976,0.313,0.349,0.251,0,3.02,112,3.5,91,561,747
934,KCR,AL,1976,0.327,0.371,0.269,1,3.21,110,3.44,65,656,735
933,HOU,NL,1976,0.322,0.347,0.256,0,3.56,90,3.72,66,571,780
932,DET,AL,1976,0.315,0.365,0.257,0,3.87,96,3.73,101,566,738
931,CLE,AL,1976,0.321,0.359,0.263,0,3.47,100,3.25,85,567,928
930,CIN,NL,1976,0.357,0.424,0.28,1,3.51,100,3.49,141,802,790
929,CHW,AL,1976,0.314,0.349,0.255,0,4.25,85,3.62,73,538,802
928,CHC,NL,1976,0.313,0.356,0.251,0,3.93,97,3.62,105,559,850
927,CAL,AL,1976,0.306,0.318,0.235,0,3.36,99,3.33,63,511,992
926,BOS,AL,1976,0.324,0.402,0.263,0,3.52,112,3.59,134,664,673
925,BAL,AL,1976,0.31,0.358,0.243,0,3.32,99,3.46,119,576,678
924,ATL,NL,1976,0.32,0.334,0.245,0,3.86,99,3.53,82,586,818
923,TOR,AL,1977,0.316,0.365,0.252,0,4.57,92,4.39,100,553,771
922,TEX,AL,1977,0.342,0.405,0.27,0,3.56,116,3.77,135,704,864
921,STL,NL,1977,0.33,0.388,0.27,0,3.81,102,4.08,96,686,768
920,SFG,NL,1977,0.323,0.383,0.253,0,3.75,105,3.73,134,624,854
919,SEA,AL,1977,0.312,0.381,0.256,0,4.83,85,4.74,133,589,785
918,SDP,NL,1977,0.324,0.375,0.249,0,4.43,80,4.46,120,652,827
917,PIT,NL,1977,0.331,0.413,0.274,0,3.61,110,3.87,133,678,890
916,PHI,NL,1977,0.346,0.448,0.279,1,3.71,109,3.8,186,795,856
915,OAK,AL,1977,0.308,0.352,0.24,0,4.04,99,4.17,117,548,788
914,NYY,AL,1977,0.344,0.444,0.281,1,3.61,109,3.99,184,784,758
913,NYM,NL,1977,0.313,0.346,0.244,0,3.77,99,3.63,88,525,911
912,MON,NL,1977,0.318,0.402,0.26,0,4.01,95,3.99,138,622,856
911,MIN,AL,1977,0.348,0.417,0.282,0,4.36,91,4.21,123,804,737
910,MIL,AL,1977,0.314,0.389,0.258,0,4.32,94,4.23,125,598,719
909,LAD,NL,1977,0.336,0.418,0.266,1,3.22,120,3.48,191,729,930
908,KCR,AL,1977,0.34,0.436,0.277,1,3.52,115,3.65,146,773,850
