,Team,League,Year,OBP,SLG,BA,Playoffs,ERA,ERA+,FIP,HR,RBIs,Ks,RC
1137,CHW,AL,1966,0.297,0.331,0.231,0,2.68,118,3.12,87,524,896,519.7044986263736
1136,CHC,NL,1966,0.313,0.38,0.254,0,4.33,85,3.99,140,603,908,659.3031906100182
1135,CAL,AL,1966,0.303,0.354,0.232,0,3.56,94,3.75,122,562,836,570.228207306712
1134,BOS,AL,1966,0.31,0.376,0.24,0,3.92,98,3.93,145,617,977,637.1423841059602
1133,BAL,AL,1966,0.324,0.409,0.258,1,3.32,102,3.33,175,703,1070,726.817805725633
1132,ATL,NL,1966,0.326,0.424,0.263,0,3.68,101,3.54,207,734,884,772.3002121063795
1131,WSA,AL,1967,0.288,0.326,0.223,0,3.38,94,3.43,115,521,878,504.92846270928464
1130,STL,NL,1967,0.32,0.379,0.263,1,3.05,108,3.05,115,656,956,669.5556665002496
1129,SFG,NL,1967,0.313,0.372,0.245,0,2.92,115,3.17,140,604,990,636.5522832561218
1128,PIT,NL,1967,0.324,0.38,0.277,0,3.74,90,3.6,91,615,820,701.8654884634266
1127,PHI,NL,1967,0.313,0.357,0.242,0,3.1,111,2.89,103,553,967,600.8123107971745
1126,NYY,AL,1967,0.296,0.317,0.225,0,3.24,96,3.34,100,473,898,507.2510460251046
1125,NYM,NL,1967,0.288,0.325,0.238,0,3.73,91,3.6,83,461,893,502.7946011420661
1124,MIN,AL,1967,0.309,0.369,0.24,0,3.14,112,2.97,131,619,1089,614.3206030150753
1123,LAD,NL,1967,0.301,0.332,0.236,0,3.21,96,2.92,82,465,967,539.2526510688436
1122,KCA,AL,1967,0.296,0.33,0.233,0,3.68,87,3.54,69,481,990,515.4366488536459
1121,HOU,NL,1967,0.317,0.364,0.249,0,4.03,82,3.25,93,581,1060,632.4372000661923
1120,DET,AL,1967,0.325,0.376,0.243,0,3.32,99,3.52,152,618,1038,654.3961232604373
1119,CLE,AL,1967,0.293,0.359,0.235,0,3.25,102,3.19,131,514,1189,565.0
1118,CIN,NL,1967,0.297,0.372,0.248,0,3.05,125,3.09,109,560,1065,605.3939908334748
1117,CHW,AL,1967,0.291,0.32,0.225,0,2.45,123,3.11,89,491,927,496.934163397578
1116,CHC,NL,1967,0.316,0.378,0.251,0,3.48,102,3.6,128,642,888,651.0736771600804
1115,CAL,AL,1967,0.301,0.349,0.238,0,3.19,98,3.55,114,524,892,552.0864583333333
1114,BOS,AL,1967,0.321,0.395,0.255,1,3.36,105,3.5,158,666,1010,691.2050725846822
1113,BAL,AL,1967,0.31,0.372,0.24,0,3.32,96,3.38,138,624,1034,624.5944546517454
1112,ATL,NL,1967,0.307,0.372,0.24,0,3.47,97,3.42,158,596,862,619.3508889634351
1111,WSA,AL,1968,0.287,0.336,0.224,0,3.64,80,3.47,124,489,826,515.0099077553809
1110,STL,NL,1968,0.298,0.346,0.249,1,2.49,117,2.61,73,539,971,570.7905371274626
1109,SFG,NL,1968,0.307,0.341,0.239,0,2.71,111,2.62,108,566,942,563.4689863842663
1108,PIT,NL,1968,0.306,0.343,0.252,0,2.74,106,2.87,80,538,897,582.7594725421466
1107,PHI,NL,1968,0.294,0.333,0.233,0,3.36,90,2.87,100,505,935,526.4938292766541
1106,OAK,AL,1968,0.304,0.343,0.24,0,2.94,95,3.23,94,522,997,558.9125552909153
1105,NYY,AL,1968,0.292,0.318,0.214,0,2.79,103,3.06,109,501,831,488.64159292035396
1104,NYM,NL,1968,0.281,0.315,0.228,0,2.72,111,2.74,81,434,1014,480.5377422645359
1103,MIN,AL,1968,0.299,0.35,0.237,0,2.89,109,2.78,105,522,996,554.8783086971467
1102,LAD,NL,1968,0.289,0.319,0.23,0,2.69,103,2.53,67,434,994,493.55377179354394
1101,HOU,NL,1968,0.298,0.317,0.231,0,3.26,91,2.65,66,473,1021,498.14342218400685
1100,DET,AL,1968,0.307,0.385,0.235,1,2.71,111,3.06,185,639,1115,637.9129928464482
1099,CLE,AL,1968,0.293,0.327,0.234,0,2.66,113,2.89,75,476,1157,513.7239431798733
1098,CIN,NL,1968,0.32,0.389,0.273,0,3.56,89,3.33,106,638,963,712.7054995118776
1097,CHW,AL,1968,0.284,0.311,0.228,0,2.75,117,3.16,71,431,834,472.25611857980005
1096,CHC,NL,1968,0.298,0.366,0.242,0,3.41,93,3.25,130,576,894,589.9083943470117
1095,CAL,AL,1968,0.291,0.318,0.227,0,3.43,85,3.51,83,453,869,485.50778816199374
1094,BOS,AL,1968,0.313,0.352,0.236,0,3.33,96,3.26,125,558,972,582.7723024638913
1093,BAL,AL,1968,0.304,0.352,0.225,0,2.66,110,2.98,133,534,1044,558.2119760479042
1092,ATL,NL,1968,0.307,0.339,0.252,0,2.92,104,2.77,80,480,871,571.3107609788804
1091,WSA,AL,1969,0.33,0.378,0.251,0,3.49,99,4.0,148,640,835,676.271186440678
1090,STL,NL,1969,0.316,0.359,0.253,0,2.94,122,3.12,90,561,1004,627.758569299553
1089,SFG,NL,1969,0.334,0.361,0.242,0,3.26,109,3.35,136,657,906,650.4666127728375
1088,SEP,AL,1969,0.316,0.346,0.234,0,4.35,83,4.16,125,583,963,590.3406919275124
1087,SDP,NL,1969,0.285,0.329,0.225,0,4.24,84,3.8,99,431,764,496.23944636678203
1086,PIT,NL,1969,0.334,0.398,0.277,0,3.61,97,3.04,119,651,1124,740.2332236842105
1085,PHI,NL,1969,0.312,0.372,0.241,0,4.14,86,3.71,137,593,921,625.8579822058083
1084,OAK,AL,1969,0.329,0.376,0.249,0,3.71,92,4.01,148,680,887,683.015567324667
1083,NYY,AL,1969,0.308,0.344,0.235,0,3.23,108,3.59,94,521,801,563.6853396901073
1082,NYM,NL,1969,0.311,0.351,0.242,1,2.99,122,3.3,109,598,1012,587.7648639570037
1081,MON,NL,1969,0.31,0.359,0.24,0,4.33,85,4.05,125,542,973,597.4692333557498
1080,MIN,AL,1969,0.34,0.408,0.268,1,3.24,114,3.46,163,733,906,782.9765774378585
1079,LAD,NL,1969,0.315,0.359,0.254,0,3.08,108,3.2,97,584,975,623.2820811170212
1078,KCR,AL,1969,0.309,0.338,0.24,0,3.72,99,3.69,98,538,894,566.0735294117648
1077,HOU,NL,1969,0.33,0.352,0.24,0,3.6,99,3.03,104,618,1221,617.8223912683975
1076,DET,AL,1969,0.316,0.387,0.242,0,3.31,113,3.51,182,649,1032,663.324804784848
1075,CLE,AL,1969,0.307,0.345,0.237,0,3.94,95,3.85,119,534,1000,566.6016949152543
1074,CIN,NL,1969,0.335,0.422,0.277,0,4.11,91,4.08,171,750,818,791.4420432220039
1073,CHW,AL,1969,0.32,0.357,0.247,0,4.21,93,3.95,112,585,810,615.3795401532823
1072,CHC,NL,1969,0.323,0.384,0.253,0,3.34,121,3.2,142,671,1017,682.3844637871572
1071,CAL,AL,1969,0.3,0.319,0.23,0,3.54,98,3.6,88,480,885,504.5401234567901
1070,BOS,AL,1969,0.333,0.415,0.251,0,3.92,98,4.11,197,701,935,755.6762028608582
1069,BAL,AL,1969,0.343,0.414,0.265,1,2.83,126,3.38,175,722,897,778.5952535760729
1068,ATL,NL,1969,0.321,0.38,0.258,1,3.53,103,3.53,141,640,893,661.1283431455004
1067,WSA,AL,1970,0.321,0.358,0.238,0,3.8,93,4.06,138,583,823,621.619688269073
1066,STL,NL,1970,0.331,0.379,0.263,0,4.06,103,3.57,113,688,960,711.7762863534675
1065,SFG,NL,1970,0.351,0.409,0.262,0,4.5,90,4.06,165,773,931,792.0244173140954
1064,SDP,NL,1970,0.312,0.391,0.246,0,4.36,91,4.1,172,629,886,664.3471805138472
1063,PIT,NL,1970,0.325,0.406,0.27,1,3.7,106,3.59,130,676,990,739.3918763361289
1062,PHI,NL,1970,0.305,0.356,0.238,0,4.17,97,3.55,101,553,1047,590.8880334728034
1061,OAK,AL,1970,0.325,0.392,0.249,0,3.3,108,3.85,171,630,858,679.4721476510067
1060,NYY,AL,1970,0.324,0.365,0.251,0,3.24,109,3.7,111,627,777,648.9927631578947
1059,NYM,NL,1970,0.333,0.37,0.249,0,3.45,116,3.62,120,640,1064,670.8904847396768
1058,MON,NL,1970,0.323,0.365,0.237,0,4.5,91,4.43,136,646,914,631.5550247116969
1057,MIN,AL,1970,0.327,0.403,0.262,1,3.23,118,3.59,153,694,940,715.7839237967914
1056,MIL,AL,1970,0.319,0.358,0.242,0,4.21,90,4.02,126,571,895,612.4772006013028
1055,LAD,NL,1970,0.334,0.382,0.27,0,3.82,100,3.98,87,695,880,716.773710753213
1054,KCR,AL,1970,0.309,0.348,0.244,0,3.78,99,4.0,97,572,915,590.689712481303
1053,HOU,NL,1970,0.332,0.391,0.259,0,4.23,92,3.79,129,694,942,720.9637070641608
1052,DET,AL,1970,0.322,0.374,0.238,0,4.09,92,3.93,148,619,1045,645.3575335653903
1051,CLE,AL,1970,0.314,0.394,0.249,0,3.91,100,4.12,183,617,1076,670.6587328193094
1050,CIN,NL,1970,0.336,0.436,0.27,1,3.69,113,3.82,191,726,843,811.0119927714802
1049,CHW,AL,1970,0.315,0.362,0.253,0,4.54,84,4.32,123,587,762,623.042063094642
1048,CHC,NL,1970,0.333,0.415,0.259,0,3.76,119,3.59,179,761,1000,758.3776648081338
1047,CAL,AL,1970,0.309,0.363,0.251,0,3.48,104,3.98,114,598,922,617.8926241846463
1046,BOS,AL,1970,0.335,0.428,0.262,0,3.87,103,3.98,203,743,1003,789.3861967694567
1045,BAL,AL,1970,0.344,0.401,0.257,1,3.15,116,3.59,179,748,941,760.3934845097413
1044,ATL,NL,1970,0.334,0.404,0.27,0,4.33,98,4.04,160,692,960,743.9100197758735
1043,WSA,AL,1971,0.307,0.326,0.23,0,3.7,89,3.85,86,501,762,527.9529411764706
1042,STL,NL,1971,0.338,0.385,0.275,0,3.85,94,3.39,95,686,911,731.9356411506582
1041,SFG,NL,1971,0.329,0.378,0.247,1,3.32,103,3.49,140,653,831,675.7363859362224
1040,SDP,NL,1971,0.293,0.332,0.233,0,3.22,103,3.23,96,447,923,518.8476912474156
1039,PIT,NL,1971,0.33,0.416,0.274,1,3.31,104,3.33,154,744,813,778.2334364317109
1038,PHI,NL,1971,0.298,0.35,0.233,0,3.71,96,3.62,123,522,838,573.6882557561703
1037,OAK,AL,1971,0.321,0.384,0.252,1,3.05,109,3.34,160,642,999,672.2829688535454
1036,NYY,AL,1971,0.328,0.36,0.254,0,3.43,95,3.53,97,607,707,636.6603269936603
1035,NYM,NL,1971,0.319,0.351,0.249,0,2.99,114,2.92,98,546,1157,609.402390438247
1034,MON,NL,1971,0.322,0.343,0.246,0,4.12,85,3.94,88,567,829,577.8334467505954
1033,MIN,AL,1971,0.323,0.372,0.26,0,3.81,93,3.67,116,618,895,651.5244684441444
1032,MIL,AL,1971,0.304,0.329,0.229,0,3.38,102,3.78,104,496,795,515.5527234636871
1031,LAD,NL,1971,0.325,0.37,0.266,0,3.23,100,3.13,95,631,853,665.3682634730538
1030,KCR,AL,1971,0.313,0.353,0.25,0,3.25,105,3.25,80,573,775,585.4250648228176
1029,HOU,NL,1971,0.302,0.34,0.24,0,3.13,108,2.96,71,547,914,561.6753768844221
1028,DET,AL,1971,0.325,0.405,0.254,0,3.63,100,3.55,179,652,1000,714.3684210526316
1027,CLE,AL,1971,0.3,0.342,0.238,0,4.28,90,4.24,109,507,937,557.7856420626896
1026,CIN,NL,1971,0.3,0.366,0.241,0,3.35,98,3.52,138,542,750,589.7771701982228
1025,CHW,AL,1971,0.325,0.373,0.25,0,3.12,116,3.03,138,568,976,643.5969044414536
1024,CHC,NL,1971,0.325,0.378,0.258,0,3.61,108,3.3,128,603,900,664.2145850796312
1023,CAL,AL,1971,0.29,0.329,0.231,0,3.1,105,3.42,96,476,904,521.4447439353099
1022,BOS,AL,1971,0.322,0.397,0.252,0,3.8,97,3.67,161,650,871,688.9366705862591
1021,BAL,AL,1971,0.347,0.398,0.261,1,2.99,113,3.4,158,702,793,726.3769037656904
1020,ATL,NL,1971,0.312,0.385,0.257,0,3.75,99,3.72,153,597,823,666.809785322017
1019,TEX,AL,1973,0.318,0.361,0.255,0,4.64,80,4.1,110,574,831,627.9419128693039
1018,STL,NL,1973,0.325,0.357,0.259,0,3.25,113,3.37,75,592,867,633.4493260109836
1017,SFG,NL,1973,0.335,0.407,0.262,0,3.79,102,3.84,161,684,787,750.2108699200261
1016,SDP,NL,1973,0.296,0.351,0.244,0,4.16,83,4.02,112,516,845,566.165244110618
1015,PIT,NL,1973,0.315,0.405,0.261,0,3.73,95,3.64,154,664,839,713.5735099337749
1014,PHI,NL,1973,0.31,0.371,0.249,0,3.99,95,3.85,134,592,919,634.9324144802391
1013,OAK,AL,1973,0.333,0.389,0.26,1,3.29,109,3.83,147,714,797,711.8557849885284
1012,NYY,AL,1973,0.322,0.378,0.261,0,3.34,110,3.58,131,616,708,667.1753887309815
1011,NYM,NL,1973,0.315,0.338,0.246,1,3.26,111,3.34,85,553,1027,580.2417875604469
1010,MON,NL,1973,0.34,0.364,0.251,0,3.71,102,3.99,125,613,866,658.0211081794196
1009,MIN,AL,1973,0.342,0.393,0.27,0,3.77,105,3.53,120,688,879,752.1888156837538
1008,MIL,AL,1973,0.325,0.388,0.253,0,3.98,95,4.05,145,669,671,690.5183117096403
1007,LAD,NL,1973,0.323,0.371,0.263,0,3.0,117,3.39,110,623,961,671.6276020324538
1006,KCR,AL,1973,0.339,0.381,0.261,0,4.19,97,3.84,114,703,790,711.7171651495448
1005,HOU,NL,1973,0.312,0.376,0.251,0,3.75,95,3.55,134,634,907,644.3826028995168
1004,DET,AL,1973,0.32,0.39,0.254,0,3.9,104,3.77,157,592,911,681.4911085258434
1003,CLE,AL,1973,0.315,0.387,0.256,0,4.58,86,4.2,158,636,883,678.7728847105393
1002,CIN,NL,1973,0.332,0.383,0.254,1,3.4,100,3.78,137,686,801,699.22412109375
1001,CHW,AL,1973,0.324,0.372,0.256,0,3.86,104,3.64,111,598,848,656.2989021956088
1000,CHC,NL,1973,0.32,0.357,0.247,0,3.66,108,3.47,117,570,885,612.1003704951162
999,CAL,AL,1973,0.318,0.348,0.253,0,3.53,99,3.46,93,595,1010,606.2786830728301
998,BOS,AL,1973,0.338,0.401,0.267,0,3.65,110,3.98,147,692,808,743.8503446012471
997,BAL,AL,1973,0.345,0.389,0.266,1,3.07,121,3.71,119,692,715,739.6979789814067
996,ATL,NL,1973,0.339,0.427,0.266,0,4.25,94,3.99,206,758,803,810.4199390928034
995,TEX,AL,1974,0.336,0.377,0.272,0,3.82,93,3.53,99,643,871,686.4948799731409
994,STL,NL,1974,0.331,0.365,0.265,0,3.48,103,3.66,83,610,794,673.8948138514063
993,SFG,NL,1974,0.322,0.358,0.252,0,3.78,101,3.79,93,568,756,627.6391376451078
992,SDP,NL,1974,0.302,0.33,0.229,0,4.58,78,4.09,99,506,855,538.5780230807827
991,PIT,NL,1974,0.335,0.391,0.274,1,3.49,99,3.6,114,692,721,744.7181467181467
990,PHI,NL,1974,0.32,0.373,0.261,0,3.91,97,3.82,95,636,892,654.8643300352172
989,OAK,AL,1974,0.321,0.373,0.247,1,2.95,113,3.29,132,637,755,635.2212239362603
988,NYY,AL,1974,0.324,0.368,0.263,0,3.31,108,3.52,101,637,829,662.1698956780924
987,NYM,NL,1974,0.311,0.329,0.235,0,3.42,106,3.3,96,538,908,559.1563066776587
986,MON,NL,1974,0.335,0.35,0.254,0,3.6,107,3.53,86,610,822,626.7062552126772
985,MIN,AL,1974,0.336,0.378,0.272,0,3.64,104,3.46,111,632,934,708.7695058517555
984,MIL,AL,1974,0.309,0.369,0.244,0,3.76,96,3.92,120,612,621,620.9871064969859
983,LAD,NL,1974,0.342,0.401,0.272,1,2.97,115,3.28,139,744,943,762.8397790055249
982,KCR,AL,1974,0.327,0.364,0.259,0,3.51,109,3.43,89,623,731,661.7641878669276
981,HOU,NL,1974,0.322,0.378,0.263,0,3.46,100,3.63,110,603,738,665.6711409395973
980,DET,AL,1974,0.303,0.366,0.247,0,4.16,91,4.06,131,579,869,614.7265156562291
979,CLE,AL,1974,0.311,0.37,0.255,0,3.8,95,3.98,131,616,650,627.0452082627836
978,CIN,NL,1974,0.343,0.394,0.26,0,3.41,102,3.63,135,714,875,746.5944123314066
977,CHW,AL,1974,0.33,0.389,0.268,0,3.94,96,3.59,135,633,826,715.1981627296587
976,CHC,NL,1974,0.327,0.365,0.251,0,4.28,89,3.7,110,610,895,661.9170298627926
975,CAL,AL,1974,0.321,0.356,0.254,0,3.52,97,3.57,95,550,986,611.7228426395939
974,BOS,AL,1974,0.333,0.377,0.264,0,3.72,105,3.69,109,658,751,689.7382992748846
973,BAL,AL,1974,0.322,0.37,0.256,1,3.27,105,3.55,116,608,701,652.3232958305758
972,ATL,NL,1974,0.319,0.363,0.249,0,3.05,124,3.43,120,599,772,641.1215596330276
971,TEX,AL,1975,0.33,0.371,0.256,0,3.86,97,3.75,134,675,792,682.7591757887959
970,STL,NL,1975,0.327,0.375,0.273,0,3.57,106,3.56,81,619,824,685.4942890249959
969,SFG,NL,1975,0.333,0.365,0.259,0,3.74,102,3.59,84,606,856,662.6712940009916
968,SDP,NL,1975,0.31,0.335,0.244,0,3.48,100,3.61,78,505,713,560.2544229149115
967,PIT,NL,1975,0.323,0.402,0.263,1,3.01,117,3.42,138,669,768,708.3740137653181
966,PHI,NL,1975,0.342,0.402,0.269,0,3.82,98,3.52,125,687,897,766.9732344405031
965,OAK,AL,1975,0.333,0.391,0.254,1,3.27,111,3.58,151,703,784,696.9248007968127
964,NYY,AL,1975,0.325,0.382,0.264,0,3.29,113,3.5,110,642,809,671.4604304355194
963,NYM,NL,1975,0.319,0.361,0.256,0,3.39,102,3.35,101,604,989,640.0719448094612
962,MON,NL,1975,0.317,0.348,0.244,0,3.72,104,3.78,98,542,831,605.5683122847302
961,MIN,AL,1975,0.341,0.386,0.271,0,4.05,95,4.03,121,669,846,722.3728813559322
960,MIL,AL,1975,0.32,0.389,0.25,0,4.34,89,4.33,146,632,643,668.443095599393
959,LAD,NL,1975,0.325,0.365,0.248,0,2.92,117,3.26,118,606,894,644.5263852242743
